"nome_arquivo","latitude","longitude"
"5PR0725",-24.0167,-51.95
"5PR0726",-24.0167,-50.7
"5PR0727",-24.0147,-53.4397
"5SP0728",-23.9997,-46.2833
"5PR0729",-23.9944,-52.1961
"5PR0730",-23.9831,-53.1667
"5PR0731",-23.9831,-51.0831
"1SP0732",-23.9667,-48.95
"5SP0733",-23.9667,-47.5
"5SP0734",-23.9667,-46.3667
"5SP0735",-23.9631,-48.2811
"5PR0736",-23.95,-53.9667
"5PR0737",-23.95,-50.0167
"5SP0738",-23.95,-47.2167
"5SP0739",-23.95,-46.45
"5SP0740",-23.95,-46.1833
,-23.9414,-47.0675
"5PR0742",-23.9408,-51.5878
"5PR0743",-23.9167,-53.1331
"5PR0744",-23.9167,-50.25
"1PR0745",-23.9144,-49.65
"5PR0746",-23.9108,-52.3361
"5PR0747",-23.9067,-52.9547
"5PR0748",-23.9039,-50.5708
"5PR0749",-23.9006,-51.9525
"5PR0750",-23.8883,-50.1844
"5SP0751",-23.8833,-46.75
"5SP0752",-23.8833,-46.2167
,-23.8831,-48.7722
"5SP0754",-23.8667,-47.9997
"5PR0755",-23.8642,-51.8583
"5PR0756",-23.8503,-50.3911
"5PR0757",-23.85,-53.8831
"5PR0758",-23.8481,-52.0283
"5SP0759",-23.8333,-47.65
